Material_Name,Category,T_min_K,T_max_K,A,B,C,D,E,,,,,,,,,,
MgBr2,Inorganic & Technological Compounds,298,2000,104.6,-2.54*10^-7,1.52*10^-7,-3.1*10^-8,-1.9*10^-8,,,,,,,,,,
MgCL2,Inorganic & Technological Compounds,298,987,78.3,2.436,6.86,-1.73,-0.73,,,,,,,,,,
MgCO3,Inorganic & Technological Compounds,298,1000,44.937,149.7,-74.18,11.98,-0.63,,,,,,,,,,
MgF2,Inorganic & Technological Compounds,298,1536,68.55,22.73,-12.16,2.57,-1.14,,,,,,,,,,
MgH2,Inorganic & Technological Compounds,298,2000,13.3,103.16,-60.368,12.18,-0.333,,,,,,,,,,
MgI2,Inorganic & Technological Compounds,298,907,71.666,25.89,-10.85,2.647,-0.32386,,,,,,,,,,
MgS,Inorganic & Technological Compounds,298,3000,48.6,3.68,0.021,0.015,-0.369,,,,,,,,,,
MgTi2O5,Inorganic & Technological Compounds,298,1963,167.2157,44.15,-3.022,0.427,-2.96,,,,,,,,,,
MgTiO3,Inorganic & Technological Compounds,298,1953,110.317,29.616,-9.65,1.79,-2.37,,,,,,,,,,
MoO2,Inorganic & Technological Compounds,298,3000,65.67,11.56,5.43,0.000256,-1.2177,,,,,,,,,,
MoO3,Inorganic & Technological Compounds,298,1074,93.31366,-22.81,52.63,-12.743,-1.4169,,,,,,,,,,
Na2CO3,Inorganic & Technological Compounds,298,723,175.2,-348,-743,-305.55,-1.63422,,,,,,,,,,
Na2S,Inorganic & Technological Compounds,298,1000,78.39,13.95,2.75,-2.348,0.0083,,,,,,,,,,
Na3ALF6,Inorganic & Technological Compounds,298,836,407.8,-676.855,1055.6,-470.579,-6.372,,,,,,,,,,
Na5AL3F14,Inorganic & Technological Compounds,298,1010,513.122,86.43,-8.57,6.6,-7.5,,,,,,,,,,
NaALO2,Inorganic & Technological Compounds,298,740,71.968,59.56,-39.21,18.12,-1.16,,,,,,,,,,
NaBO2,Inorganic & Technological Compounds,298,1240,40.066,120.45,-72.4,15.241,-0.356,,,,,,,,,,
NaBr,Inorganic & Technological Compounds,298,1020,50.181,10.122,0.96,-0.0284,-0.1656,,,,,,,,,,
NaCL,Inorganic & Technological Compounds,298,1073,50.724,6.67,-2.52,10.16,-0.2,,,,,,,,,,
NaF,Inorganic & Technological Compounds,298,1269,53,-5.95,12.56,0.378,-0.489,,,,,,,,,,
NaI,Inorganic & Technological Compounds,298,933,50.2,10.228,0.5645,-0.221,-0.095,,,,,,,,,,
NaO2,Inorganic & Technological Compounds,298,2000,57.48,46.867,-4.46,1.039,0.09568,,,,,,,,,,
NaOH,Inorganic & Technological Compounds,298,2500,88.347,-2.49,-3.013,0.8626,0.0422,,,,,,,,,,
Ti3O5,Inorganic & Technological Compounds,298,1500,233.4,-59.36,68.2,-20.6,-5.9,,,,,,,,,,
Ti4O7,Inorganic & Technological Compounds,298,1950,248.944,81.065,-36.4,6.642,-5.51,,,,,,,,,,
TiB2,Inorganic & Technological Compounds,298,3193,52.33264,33.694,-7.909,0.8,-1.54,,,,,,,,,,
TiC,Inorganic & Technological Compounds,298,1000,5.554330,149.86,-171,67.13,-0.269,,,,,,,,,,
TiCL2,Inorganic & Technological Compounds,298,2000,71.366,11.49,4.48,-0.9177,-0.4777,,,,,,,,,,
TiCL3,Inorganic & Technological Compounds,298,1500,92.97,18.8,-6.993,2.0245,-0.076,,,,,,,,,,
TiO,Inorganic & Technological Compounds,298,2023,41.788,18.2454,-0.37,0.065,-0.645,,,,,,,,,,
V2O3,Inorganic & Technological Compounds,298,2340,132.1,-7.79,19.22,-2.92,-2.34,,,,,,,,,,
V2O5,Inorganic & Technological Compounds,298,943,161.87,33.268,-12.93,5.1253,-3.5776,,,,,,,,,,
VN,Inorganic & Technological Compounds,298,3500,43.94,11.2156,-0.655,0.044,-0.8157,,,,,,,,,,
VO,Inorganic & Technological Compounds,298,2063,45.97,14.466,0.6195,-0.1775,-0.42,,,,,,,,,,
